ticker,date,type,quantity,cost_price,broker
XPML11,04/12/2018,compra,5,103.2,Rico Investimentos
XPML11,14/02/2019,subscrição,3,102.21,Rico Investimentos
XPML11,08/08/2019,subscrição,3,104.93,Rico Investimentos
XPML11,21/10/2019,subscrição,3,109.68,Rico Investimentos
XPML11,01/11/2019,subscrição,1,109.68,Rico Investimentos
XPML11,02/01/2020,compra,10,139.36,Rico Investimentos
XPML11,19/02/2020,compra,5,136.95,Rico Investimentos
XPML11,23/09/2020,compra,10,107.95,Rico Investimentos
XPML11,13/08/2021,subscrição,12,102.88,Rico Investimentos
XPML11,19/07/2022,compra,2,92.5,Rico Investimentos
XPML11,23/08/2022,compra,3,101.96,Rico Investimentos
XPML11,20/01/2023,compra,5,97.2,Rico Investimentos
XPML11,24/02/2023,compra,5,98.9,Rico Investimentos
XPML11,06/06/2023,subscrição,9,99.6,Rico Investimentos
XPML11,31/07/2023,compra,10,105.34,Rico Investimentos
XPML11,28/12/2023,compra,5,116.86,Rico Investimentos
XPML11,19/01/2024,subscrição,21,112.95,Rico Investimentos
XPML11,27/03/2024,compra,8,116.03,Rico Investimentos
XPML11,26/11/2024,compra,10,103.01,Rico Investimentos
VISC11,14/12/2018,compra,8,105.23,Rico Investimentos
VISC11,17/12/2018,compra,9,105.5,Rico Investimentos
VISC11,27/08/2019,subscrição,5,108.0,Rico Investimentos
VISC11,07/12/2019,subscrição,7,126.5,Rico Investimentos
VISC11,02/01/2020,compra,9,142.76,Rico Investimentos
VISC11,10/01/2020,subscrição,5,126.5,Rico Investimentos
VISC11,25/08/2021,subscrição,14,106.19,Rico Investimentos
VISC11,29/03/2023,compra,2,101.0,Rico Investimentos
VISC11,24/04/2023,compra,3,107.2,Rico Investimentos
VISC11,10/08/2023,compra,5,120.25,Rico Investimentos
VISC11,22/08/2024,subscrição,9,117.09,Rico Investimentos
VISC11,06/09/2024,subscrição,26,117.09,Rico Investimentos
VISC11,16/12/2024,compra,10,92.14,Rico Investimentos
HGLG11,14/12/2018,compra,5,138.15,Rico Investimentos
HGLG11,17/12/2018,compra,7,137.3,Rico Investimentos
HGLG11,17/06/2019,compra,5,148.4,Rico Investimentos
HGLG11,03/07/2019,subscrição,6,142.97,Rico Investimentos
HGLG11,30/07/2020,subscrição,10,155.37,Rico Investimentos
HGLG11,30/07/2021,subscrição,7,160.32,Rico Investimentos
HGLG11,23/04/2022,subscrição,7,160.51,Rico Investimentos
HGLG11,29/05/2023,subscrição,19,150.7,Rico Investimentos
HGLG11,24/10/2024,compra,5,154.27,Rico Investimentos
HGLG11,22/01/2025,compra,7,150.3,Rico Investimentos
GGRC11,01/04/2019,compra,10,132.45,Rico Investimentos
GGRC11,13/02/2020,compra,15,139.5,Rico Investimentos
GGRC11,19/02/2020,compra,5,138.8,Rico Investimentos
GGRC11,09/12/2020,subscrição,10,128.77,Rico Investimentos
GGRC11,23/08/2022,compra,3,111.47,Rico Investimentos
GGRC11,25/10/2022,compra,4,124.19,Rico Investimentos
GGRC11,18/11/2022,subscrição,6,114.5,Rico Investimentos
GGRC11,25/05/2023,compra,5,115.35,Rico Investimentos
GGRC11,04/09/2023,subscrição,12,115.5,Rico Investimentos
GGRC11,19/09/2023,subscrição,50,115.5,Rico Investimentos
HFOF11,01/04/2019,compra,10,100.15,Rico Investimentos
HFOF11,07/06/2019,subscrição,8,100.35,Rico Investimentos
HFOF11,26/07/2019,subscrição,11,101.74,Rico Investimentos
HFOF11,18/11/2019,subscrição,5,103.45,Rico Investimentos
HFOF11,05/12/2019,subscrição,3,103.45,Rico Investimentos
HFOF11,10/02/2020,subscrição,11,112.96,Rico Investimentos
HFOF11,09/03/2020,subscrição,6,112.96,Rico Investimentos
HFOF11,02/07/2020,subscrição,5,100.36,Rico Investimentos
HFOF11,15/07/2020,subscrição,1,100.36,Rico Investimentos
HFOF11,23/09/2020,compra,3,104.35,Rico Investimentos
HFOF11,27/10/2020,subscrição,9,102.85,Rico Investimentos
HFOF11,21/01/2021,compra,5,103.28,Rico Investimentos
HFOF11,04/05/2021,subscrição,7,98.59,Rico Investimentos
HFOF11,21/06/2023,compra,8,73.8,Rico Investimentos
HFOF11,26/01/2024,compra,15,77.95,Rico Investimentos
HFOF11,20/05/2024,compra,11,75.51,Rico Investimentos
HFOF11,30/07/2024,compra,6,70.44,Rico Investimentos
HFOF11,21/08/2024,compra,10,68.96,Rico Investimentos
HGRE11,06/01/2020,compra,15,211.95,Rico Investimentos
HGRE11,18/09/2020,compra,10,153.05,Rico Investimentos
HGRE11,10/11/2020,subscrição,3,149.49,Rico Investimentos
HGRE11,21/01/2021,compra,1,150.21,Rico Investimentos
HGRE11,21/01/2021,compra,3,150.41,Rico Investimentos
HGRE11,23/08/2022,compra,2,139.79,Rico Investimentos
HGRE11,21/12/2022,compra,4,121.05,Rico Investimentos
HGRE11,24/04/2023,compra,2,119.0,Rico Investimentos
TGAR11,05/02/2021,compra,7,144.0,Rico Investimentos
TGAR11,22/02/2021,compra,5,141.74,Rico Investimentos
TGAR11,08/04/2021,compra,10,137.8,Rico Investimentos
TGAR11,07/05/2021,subscrição,9,133.38,Rico Investimentos
TGAR11,25/10/2021,compra,4,122.56,Rico Investimentos
TGAR11,25/10/2021,compra,2,122.15,Rico Investimentos
TGAR11,19/11/2021,compra,3,112.9,Rico Investimentos
TGAR11,25/10/2022,compra,3,123.85,Rico Investimentos
TGAR11,21/12/2022,compra,4,116.5,Rico Investimentos
TGAR11,20/01/2023,compra,5,119.27,Rico Investimentos
TGAR11,24/04/2023,compra,5,112.0,Rico Investimentos
TGAR11,27/11/2023,compra,5,120.2,Rico Investimentos
TGAR11,21/01/2024,compra,10,122.94,Rico Investimentos
TGAR11,27/03/2024,compra,4,126.79,Rico Investimentos
TGAR11,30/07/2024,compra,2,119.99,Rico Investimentos
TGAR11,21/08/2024,compra,6,118.42,Rico Investimentos
MXRF11,05/02/2021,compra,49,10.69,Rico Investimentos
MXRF11,15/02/2021,subscrição,12,10.15,Rico Investimentos
MXRF11,29/03/2021,subscrição,19,10.15,Rico Investimentos
MXRF11,09/04/2021,compra,120,10.36,Rico Investimentos
MXRF11,26/05/2021,compra,4,10.49,Rico Investimentos
MXRF11,25/06/2021,compra,50,10.06,Rico Investimentos
MXRF11,04/08/2021,compra,12,10.09,Rico Investimentos
MXRF11,14/12/2021,compra,29,9.81,Rico Investimentos
MXRF11,14/01/2022,compra,32,9.97,Rico Investimentos
MXRF11,25/01/2022,compra,28,10.06,Rico Investimentos
MXRF11,08/02/2022,compra,28,9.39,Rico Investimentos
MXRF11,16/03/2022,compra,39,9.06,Rico Investimentos
MXRF11,17/05/2022,compra,44,9.51,Rico Investimentos
MXRF11,20/01/2023,compra,50,10.08,Rico Investimentos
MXRF11,24/02/2023,compra,48,10.2,Rico Investimentos
MXRF11,26/05/2023,compra,50,10.53,Rico Investimentos
MXRF11,30/06/2023,subscrição,135,10.36,Rico Investimentos
MXRF11,28/07/2023,compra,100,10.64,Rico Investimentos
MXRF11,11/12/2023,subscrição,197,10.29,Rico Investimentos
MXRF11,27/06/2024,subscrição,138,10.07,Rico Investimentos
MXRF11,16/12/2024,compra,50,9.15,Rico Investimentos
HCTR11,18/02/2021,compra,8,146.75,Rico Investimentos
HCTR11,09/04/2021,compra,12,148.0,Rico Investimentos
HCTR11,07/05/2021,subscrição,7,118.32,Rico Investimentos
HCTR11,10/05/2021,compra,7,137.3,Rico Investimentos
HCTR11,26/05/2021,subscrição,4,118.32,Rico Investimentos
HCTR11,25/06/2021,compra,5,131.97,Rico Investimentos
HCTR11,16/08/2021,subscrição,12,119.0,Rico Investimentos
HCTR11,31/08/2021,subscrição,17,119.0,Rico Investimentos
HCTR11,23/11/2021,subscrição,13,118.8,Rico Investimentos
HCTR11,01/12/2021,subscrição,25,118.8,Rico Investimentos
HCTR11,20/04/2022,compra,8,104.73,Rico Investimentos
HCTR11,24/02/2023,compra,6,88.84,Rico Investimentos
TORD11,22/02/2020,compra,7,11.56,Rico Investimentos
TORD11,02/03/2021,compra,14,11.42,Rico Investimentos
TORD11,08/04/2021,compra,100,11.78,Rico Investimentos
TORD11,23/04/2021,compra,12,10.7,Rico Investimentos
TORD11,07/05/2021,subscrição,48,10.27,Rico Investimentos
TORD11,20/05/2021,subscrição,38,10.27,Rico Investimentos
TORD11,06/05/2021,compra,4,10.39,Rico Investimentos
TORD11,06/08/2021,compra,12,10.32,Rico Investimentos
TORD11,19/11/2021,compra,10,9.94,Rico Investimentos
TORD11,14/12/2022,compra,33,9.59,Rico Investimentos
TORD11,25/01/2022,compra,29,9.78,Rico Investimentos
TORD11,14/01/2022,compra,21,9.32,Rico Investimentos
TORD11,16/03/2022,compra,39,8.85,Rico Investimentos
DEVA11,10/05/2021,compra,10,107.85,Rico Investimentos
DEVA11,22/06/2021,compra,7,105.99,Rico Investimentos
DEVA11,22/07/2021,compra,4,103.95,Rico Investimentos
DEVA11,15/09/2021,compra,5,103.9,Rico Investimentos
DEVA11,27/09/2021,subscrição,7,100.32,Rico Investimentos
DEVA11,18/10/2021,subscrição,32,100.32,Rico Investimentos
DEVA11,19/11/2021,compra,5,99.75,Rico Investimentos
DEVA11,01/12/2021,subscrição,11,97.93,Rico Investimentos
VSLH11,14/06/2021,compra,100,10.32,Rico Investimentos
VSLH11,14/09/2021,compra,13,9.98,Rico Investimentos
VSLH11,27/09/2021,subscrição,43,9.98,Rico Investimentos
VSLH11,26/10/2021,compra,10,10.11,Rico Investimentos
