ticker,date,type,quantity,cost_price,broker
ES,06/01/2022,compra,3,89.1,Banco Inter
ES,26/04/2022,compra,1,92.91,Banco Inter
ES,24/04/2023,compra,3,79.02,Banco Inter
ES,16/08/2023,compra,3,64.62,Banco Inter
ES,23/01/2024,compra,4,52.44,Banco Inter
CCI,06/01/2022,compra,1,187.18,Banco Inter
CCI,26/01/2022,compra,1,176.7,Banco Inter
CCI,16/02/2022,compra,1,164.2,Banco Inter
CCI,16/08/2023,compra,2,100.15,Banco Inter
O,12/01/2022,compra,2,71.81,Banco Inter
O,18/01/2022,compra,1,70.55,Banco Inter
O,26/01/2022,compra,2,67.81,Banco Inter
O,16/02/2022,compra,2,66.99,Banco Inter
O,26/04/2022,compra,2,74.47,Banco Inter
O,30/08/2022,compra,2,70.0,Banco Inter
O,16/08/2023,compra,4,57.02,Banco Inter
O,25/10/2023,compra,3,49.39,Banco Inter
O,10/10/2024,compra,1,61.26,Banco Inter
JEPI,09/10/2023,compra,5,53.06,Banco Inter
JEPI,25/10/2023,compra,2,52.32,Banco Inter
JEPI,25/09/2024,compra,1,59.14,Banco Inter
JEPI,10/10/2024,compra,1,59.12,Banco Inter
VTWO,22/01/2024,compra,4,78.87,Banco Inter
VTWO,25/09/2024,compra,1,88.54,Banco Inter
VT,22/01/2024,compra,4,78.87,Banco Inter
VT,25/09/2024,compra,1,88.54,Banco Inter
IXC,23/01/2024,compra,7,37.63,Banco Inter
IXC,25/09/2024,compra,1,40.48,Banco Inter
STAG,15/10/2024,compra,2,37.8,Banco Inter
WELL,12/01/2022,compra,2,86.49,Banco Inter
WELL,26/01/2022,compra,1,83.91,Banco Inter
WELL,05/10/2022,compra,1,62.17,Banco Inter
WELL,25/10/2023,compra,2,82.99,Banco Inter
